2100938278275064225	0	0	0	15
2101809200032788851	0	0	0	4
2101809432481161224	0	0	0	3
2101465250864459902	2	0	0	352
2100938911816224853	0	0	0	8
2102442687349891356	0	0	0	44
2100939657118937355	0	0	0	14
2101799431620477291	0	0	0	558
2101465023990444400	0	0	0	2
2102189166448747004	0	0	0	84
2101799195137200513	0	0	0	6
2101652588454416580	0	0	0	151
2100939213181206773	0	0	0	14
2100938725194977383	0	0	0	8
2100939409021702654	0	0	0	27
2101150478033936813	0	0	0	31
2102878963731501433	0	0	0	4
2102189420178964939	0	0	0	317
2102189651192946809	0	0	0	7
2101464879542747487	0	0	0	9
2101799614290796558	0	0	0	2
2101652024261841381	0	0	0	47
2102520018240180402	0	0	0	11
2102878863294615887	0	0	0	26
2102188993316360282	0	0	0	88
2102188758477209635	0	0	0	56
2101799357008040412	1	1	0	53
2101652266273153150	0	0	0	87
2101652351027417222	0	0	0	5
2101152087572959295	0	0	0	121
2101464677037592748	0	0	0	29
2101151890495172961	0	0	0	66
2102027172022300967	0	0	0	5
2102027308806865271	0	0	0	74
2102519819723776449	0	0	0	37
2102190032723603459	0	0	0	4
2102026996503155152	0	0	0	6
2102441775306822090	0	0	0	34
2102026878257385494	0	0	0	35
2101809530401444081	0	0	0	48
2102519568329748946	0	0	0	260
2101292922088091657	0	0	0	20
